iter	Logloss
0	0.6842010913
1	0.6765855024
2	0.6702015676
3	0.6623328592
4	0.6551527166
5	0.6487255486
6	0.6416157833
7	0.6338888155
8	0.6258160857
9	0.6180757795
10	0.6108570229
11	0.6052705933
12	0.5991383248
13	0.592852586
14	0.5878595365
15	0.5825253441
16	0.5764847321
17	0.5705532152
18	0.5657477865
19	0.5604401673
20	0.5558412513
21	0.5513598903
22	0.5452204075
23	0.5394979983
24	0.535382952
25	0.5306385585
26	0.5266790066
27	0.5212893843
28	0.5159016304
29	0.5120591144
30	0.5081646459
31	0.5034859586
32	0.5000337354
33	0.4961529167
34	0.4922718904
35	0.488308913
36	0.484672754
37	0.4817928392
38	0.4779394241
39	0.4741512999
40	0.4703161019
41	0.466683005
42	0.4639631518
43	0.461112509
44	0.4584938101
45	0.4546996655
46	0.4524226805
47	0.4509388411
48	0.4483351416
49	0.4450934793
50	0.4420440051
51	0.4398435735
52	0.4372317256
53	0.4344503701
54	0.4318889955
55	0.4288763968
56	0.4266459666
57	0.4241463797
58	0.4211270339
59	0.4181686453
60	0.4156833311
61	0.4133919437
62	0.4107179707
63	0.4091703973
64	0.4064326903
65	0.4043680308
66	0.4021365626
67	0.4006287452
68	0.3984584419
69	0.3964773944
70	0.394341086
71	0.3926475681
72	0.3906640552
73	0.3889110851
74	0.3872516658
75	0.3853451735
76	0.3833069055
77	0.3814716988
78	0.3800992901
79	0.3781819246
80	0.3765405668
81	0.3752427393
82	0.3735804655
83	0.3722234194
84	0.3704584342
85	0.3693993757
86	0.3679134343
87	0.3660875697
88	0.364489497
89	0.3634507835
90	0.3624680188
91	0.3614149807
92	0.3601568832
93	0.3595134969
94	0.358034614
95	0.3566896088
96	0.3550748241
97	0.3536729358
98	0.3524526739
99	0.3513598799
100	0.3500041832
101	0.3486844796
102	0.3474395129
103	0.3462151508
104	0.3450008314
105	0.3438726153
106	0.3426520938
107	0.3411729255
108	0.3399580093
109	0.3385692519
110	0.337221989
111	0.3362684704
112	0.3350201302
113	0.3341405959
114	0.3333271572
115	0.3323271875
116	0.3314559573
117	0.3305397293
118	0.3296059329
119	0.3285550487
120	0.3277323197
121	0.3268109017
122	0.3256205085
123	0.3245971057
124	0.323765346
125	0.322915992
126	0.3224782619
127	0.3213231612
128	0.3205628687
129	0.3196654547
130	0.3188120784
131	0.3182455828
132	0.3174646858
133	0.3166837108
134	0.3160646919
135	0.3152755945
136	0.3144717054
137	0.3138079741
138	0.3130779396
139	0.3122053081
140	0.3114828512
141	0.3106280995
142	0.3101345244
143	0.3094297137
144	0.3085138749
145	0.3079568772
146	0.3072404148
147	0.3063657073
148	0.305481476
149	0.3047575659
150	0.304095158
151	0.3032166358
152	0.3023767017
153	0.3016527137
154	0.3008888919
155	0.3002894914
156	0.2995849661
157	0.298925283
158	0.2981776542
159	0.2977986238
160	0.2972318948
161	0.2967374373
162	0.2962744058
163	0.2958039264
164	0.2951249363
165	0.2945256136
166	0.2937939183
167	0.2931502725
168	0.29242862
169	0.2918272992
170	0.2912978607
171	0.2908792561
172	0.2902959447
173	0.2895961684
174	0.288987296
175	0.2883074494
176	0.2875688254
177	0.2867397127
178	0.2863590993
179	0.2860162437
180	0.2852769968
181	0.2846476756
182	0.2841740303
183	0.2837579429
184	0.2834097415
185	0.2829178012
186	0.2823878178
187	0.2820195568
188	0.2813478068
189	0.2809134503
190	0.2803710626
191	0.2798904886
192	0.2794832762
193	0.2787922191
194	0.2785616505
195	0.2780720977
196	0.2776189013
197	0.2772025284
198	0.276703841
199	0.2762586114
200	0.2754970732
201	0.2750352094
202	0.2747117127
203	0.2741983634
204	0.2734368253
205	0.2727187799
206	0.2724917146
207	0.2718979453
208	0.2714522745
