iter	Passed	Remaining
0	13	13127
1	25	12744
2	37	12444
3	47	11850
4	55	11000
5	61	10267
6	68	9768
7	75	9410
8	81	9015
9	88	8720
10	93	8370
11	98	8078
12	103	7879
13	109	7715
14	113	7449
15	118	7275
16	123	7117
17	126	6909
18	129	6701
19	135	6622
20	140	6550
21	144	6408
22	147	6277
23	152	6212
24	157	6143
25	160	6028
26	166	5983
27	170	5932
28	174	5836
29	177	5747
30	183	5743
31	189	5747
32	194	5685
33	199	5661
34	203	5609
35	207	5560
36	213	5565
37	218	5533
38	224	5522
39	230	5540
40	236	5534
41	240	5480
42	244	5452
43	249	5414
44	253	5388
45	259	5374
46	264	5359
47	266	5294
48	270	5253
49	275	5229
50	279	5197
51	282	5152
52	285	5101
53	288	5051
54	293	5036
55	297	5007
56	299	4962
57	302	4917
58	307	4901
59	310	4866
60	313	4830
61	316	4788
62	319	4745
63	323	4733
64	326	4702
65	329	4666
66	332	4629
67	335	4595
68	339	4574
69	341	4541
70	344	4508
71	347	4478
72	350	4444
73	352	4415
74	355	4384
75	358	4356
76	361	4329
77	363	4300
78	366	4272
79	369	4246
80	371	4219
81	374	4192
82	377	4172
83	380	4148
84	383	4124
85	386	4103
86	389	4084
87	392	4064
88	395	4050
89	400	4054
90	403	4034
91	406	4013
92	409	3992
93	411	3963
94	413	3942
95	418	3936
96	420	3918
97	423	3902
98	426	3884
99	429	3864
100	432	3847
101	435	3832
102	438	3815
103	441	3799
104	444	3786
105	448	3780
106	450	3763
107	453	3747
108	456	3731
109	459	3715
110	461	3699
111	465	3693
112	468	3680
113	471	3664
114	474	3650
115	476	3634
116	479	3621
117	482	3608
118	485	3596
119	488	3585
120	492	3575
121	495	3567
122	499	3559
123	502	3549
124	505	3539
125	508	3528
126	512	3520
127	515	3513
128	520	3511
129	523	3504
130	529	3510
131	533	3505
132	537	3502
133	540	3494
134	545	3494
135	549	3489
136	553	3488
137	557	3480
138	562	3482
139	566	3478
140	569	3470
141	572	3461
142	577	3459
143	581	3456
144	585	3453
145	590	3455
146	594	3451
147	598	3442
148	601	3435
149	606	3434
150	610	3431
151	613	3423
152	618	3422
153	624	3431
154	629	3431
155	633	3426
156	638	3427
157	641	3420
158	646	3417
159	649	3409
160	655	3414
161	660	3415
162	663	3409
163	669	3411
164	673	3408
165	676	3401
166	680	3393
167	685	3397
168	691	3398
169	694	3391
170	698	3385
171	703	3386
172	707	3382
173	710	3374
174	714	3367
175	719	3368
176	723	3363
177	726	3355
178	729	3347
179	737	3358
180	740	3352
181	744	3345
182	751	3353
183	755	3350
184	759	3343
185	763	3341
186	768	3340
187	771	3334
188	775	3326
189	780	3328
190	785	3326
191	788	3320
192	793	3319
193	797	3315
194	801	3309
195	805	3304
196	810	3303
197	814	3298
198	819	3300
199	828	3314
200	834	3315
201	838	3311
202	843	3313
203	849	3313
204	852	3307
205	858	3309
206	863	3308
207	867	3303
208	870	3296
209	877	3301
210	881	3296
211	885	3291
212	891	3295
213	896	3293
214	900	3288
215	906	3291
216	912	3291
217	916	3287
218	921	3286
219	926	3285
220	931	3282
221	937	3285
222	943	3286
223	946	3279
224	950	3275
225	956	3277
226	960	3271
227	964	3264
228	968	3262
229	973	3259
230	976	3251
231	980	3244
232	985	3243
233	990	3242
234	993	3235
235	997	3228
236	1002	3227
237	1007	3224
238	1010	3217
239	1012	3206
240	1019	3209
241	1024	3208
242	1027	3200
243	1033	3201
244	1038	3199
245	1039	3187
246	1043	3179
247	1048	3178
248	1052	3175
